Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.08     0.00      899     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::list()
  0.00      0.08     0.00      815     0.00     0.00  std::_List_const_iterator<unsigned int>::operator==(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.08     0.00      815     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::operator=(std::list<unsigned int, std::allocator<unsigned int> > const&)
  0.00      0.08     0.00      783     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator()
  0.00      0.08     0.00      747     0.00     0.00  LevelGraph::getNbrLevels() const
  0.00      0.08     0.00      711     0.00     0.00  AdjacencyListGraph::increaseWeight(unsigned int, unsigned int, int)
  0.00      0.08     0.00      554     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::erase(std::_List_iterator<unsigned int>, std::_List_iterator<unsigned int>)
  0.00      0.08     0.00      550     0.00     0.00  LevelGraph::getLevel(unsigned int) const
  0.00      0.08     0.00      506     0.00     0.00  std::list<neighbor_t, std::allocator<neighbor_t> >::front()
  0.00      0.08     0.00      503     0.00     0.00  AdjacencyListGraph::rmArc(arc_t const&)
  0.00      0.08     0.00      480     0.00     0.00  std::_Iter_base<edge*, false>::_S_base(edge*)
  0.00      0.08     0.00      313     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::clear()
  0.00      0.08     0.00      288     0.00     0.00  std::_Niter_base<edge*>::iterator_type std::__niter_base<edge*>(edge*)
  0.00      0.08     0.00      277     0.00     0.10  leastFirst(AbstractGraph&, unsigned int, unsigned int)
  0.00      0.08     0.00      277     0.00     0.10  leastArcsPath(AbstractGraph&, unsigned int, unsigned int)
  0.00      0.08     0.00      273     0.00     0.01  lightestArc(AbstractGraph&, std::list<unsigned int, std::allocator<unsigned int> >)
  0.00      0.08     0.00      273     0.00     0.01  updateResidualNetwork(AbstractGraph&, std::list<unsigned int, std::allocator<unsigned int> >, unsigned int)
  0.00      0.08     0.00      273     0.00     0.00  min(int, int)
  0.00      0.08     0.00      264     0.00     0.00  LevelGraph::addVertexToLevel(unsigned int, unsigned int)
  0.00      0.08     0.00      261     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::empty() const
  0.00      0.08     0.00      261     0.00     0.00  std::__alloc_neq<std::allocator<std::_List_node<unsigned int> >, true>::_S_do_it(std::allocator<std::_List_node<unsigned int> > const&, std::allocator<std::_List_node<unsigned int> > const&)
  0.00      0.08     0.00      261     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_transfer(std::_List_iterator<unsigned int>, std::_List_iterator<unsigned int>, std::_List_iterator<unsigned int>)
  0.00      0.08     0.00      261     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::_M_check_equal_allocators(std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.08     0.00      261     0.00     0.00  void std::list<unsigned int, std::allocator<unsigned int> >::insert<std::_List_const_iterator<unsigned int> >(std::_List_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>)
  0.00      0.08     0.00      261     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::splice(std::_List_iterator<unsigned int>, std::list<unsigned int, std::allocator<unsigned int> >&)
  0.00      0.08     0.00      261     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::list<std::_List_const_iterator<unsigned int> >(std::_List_const_iterator<unsigned int>, std::_List_const_iterator<unsigned int>, std::allocator<unsigned int> const&)
  0.00      0.08     0.00      249     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator()
  0.00      0.08     0.00      247     0.00     0.00  AdjacencyListGraph::rmArc(unsigned int, unsigned int)
  0.00      0.08     0.00      196     0.00     0.00  std::vector<edge, std::allocator<edge> >::size() const
  0.00      0.08     0.00      192     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::base() const
  0.00      0.08     0.00      192     0.00     0.00  std::_Miter_base<edge*>::iterator_type std::__miter_base<edge*>(edge*)
  0.00      0.08     0.00      148     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_get_Tp_allocator()
  0.00      0.08     0.00      144     0.00     0.00  __gnu_cxx::new_allocator<edge>::max_size() const
  0.00      0.08     0.00       96     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::__normal_iterator(edge* const&)
  0.00      0.08     0.00       96     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_get_Tp_allocator() const
  0.00      0.08     0.00       96     0.00     0.00  std::vector<edge, std::allocator<edge> >::max_size() const
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<edge>(edge const*, edge const*, edge*)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__uninitialized_copy<true>::__uninit_copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__copy_move_a<false, edge*, edge*>(edge*, edge*, edge*)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__copy_move_a2<false, edge*, edge*>(edge*, edge*, edge*)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::uninitialized_copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__uninitialized_copy_a<edge*, edge*, edge>(edge*, edge*, edge*, std::allocator<edge>&)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::__uninitialized_move_a<edge*, edge*, std::allocator<edge> >(edge*, edge*, edge*, std::allocator<edge>&)
  0.00      0.08     0.00       96     0.00     0.00  edge* std::copy<edge*, edge*>(edge*, edge*, edge*)
  0.00      0.08     0.00       52     0.00     0.00  void std::_Destroy_aux<true>::__destroy<edge*>(edge*, edge*)
  0.00      0.08     0.00       52     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_deallocate(edge*, unsigned long)
  0.00      0.08     0.00       52     0.00     0.00  void std::_Destroy<edge*>(edge*, edge*)
  0.00      0.08     0.00       52     0.00     0.00  void std::_Destroy<edge*, edge>(edge*, edge*, std::allocator<edge>&)
  0.00      0.08     0.00       49     0.00     0.13  AdjacencyListGraph::_clear()
  0.00      0.08     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<edge>::deallocate(edge*, unsigned long)
  0.00      0.08     0.00       48     0.00     0.00  __gnu_cxx::new_allocator<edge>::allocate(unsigned long, void const*)
  0.00      0.08     0.00       48     0.00     0.00  __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >::difference_type __gnu_cxx::operator-<edge*, std::vector<edge, std::allocator<edge> > >(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > > const&, __gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > > const&)
  0.00      0.08     0.00       48     0.00     0.00  std::vector<edge, std::allocator<edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.08     0.00       48     0.00     0.00  std::_Vector_base<edge, std::allocator<edge> >::_M_allocate(unsigned long)
  0.00      0.08     0.00       48     0.00     0.00  std::vector<edge, std::allocator<edge> >::_M_insert_aux(__gnu_cxx::__normal_iterator<edge*, std::vector<edge, std::allocator<edge> > >, edge const&)
  0.00      0.08     0.00       48     0.00     0.00  std::vector<edge, std::allocator<edge> >::end()
  0.00      0.08     0.00       48     0.00     0.00  std::vector<edge, std::allocator<edge> >::begin()
  0.00      0.08     0.00       48     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.08     0.00       33     0.00     0.00  AbstractGraph::AbstractGraph()
  0.00      0.08     0.00       33     0.00     0.00  AbstractGraph::~AbstractGraph()
  0.00      0.08     0.00       33     0.00     0.13  AdjacencyListGraph::~AdjacencyListGraph()
  0.00      0.08     0.00       25     0.00     0.00  AdjacencyListGraph::AdjacencyListGraph(unsigned int)
  0.00      0.08     0.00       24     0.00     0.43  AdjacencyListGraph::_construct(AbstractGraph const&)
  0.00      0.08     0.00       20     0.00     0.00  LevelGraph::_clear()
  0.00      0.08     0.00       12     0.00     0.30  generateLevelGraph(AbstractGraph const&, unsigned int, unsigned int)
  0.00      0.08     0.00       12     0.00     0.00  LevelGraph::LevelGraph(unsigned int, unsigned int)
  0.00      0.08     0.00       12     0.00     0.13  LevelGraph::~LevelGraph()
  0.00      0.08     0.00        8     0.00     2.90  blockingFlow(LevelGraph&, unsigned int, unsigned int)
  0.00      0.08     0.00        8     0.00     0.40  updateResidualNetwork(AbstractGraph&, AbstractGraph&)
  0.00      0.08     0.00        8     0.00     0.00  LevelGraph::_construct(LevelGraph const&)
  0.00      0.08     0.00        8     0.00     0.56  LevelGraph::operator=(LevelGraph const&)
